ID,Title,Status,MAL normalized score,Overall,AU,AP,MU,MP,CU,CP,AL,AV,AM,B,A
M-VGMDB-AL-42961-6,メリーメリー álbum ver.,Completed,4.476373426593868,1.7995658881165897,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.2000000000000002,0.09956588811658944,0.0
M-VGMDB-AL-78253,THE IDOLM@STER MILLION THE@TER GENERATION 11 UNION!!,Unknown,3.700369247602228,1.4562880131297375,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.07166666666666666,1.0499999999999998,0.10046244236013063,0.0
A-MAL-14741,Chuunibyou demo Koi ga Shitai!,Completed,6.347708506839984,4.771562760259976,0.0,2.4515627602599763,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.0,0.0
A-MAL-40763,Show By Rock!! Mashumairesh!!,Completed,7.389367472915432,7.0536575400923205,0.057872818620874726,2.398968848317839,0.050927984129412705,1.9026076178130036,0.07729996354407051,2.2258579946128423,0.0,1.56,0.49839984910464796,1.0598916508854133,0.0
A-MAL-23587,The iDOLM@STER Cinderella Girls,Completed,5.241604848175772,2.482939296249548,0.0,0.3789291416275995,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.0040101546219484,0.0
M-VGMDB-AL-42961-9,World on Color,Completed,5.166133733946839,2.307091600096134,0.0,0.049999999999999996,0.0,0.4,0.0,0.0,0.0,0.0,1.7999999999999998,0.09963780405349251,0.0
A-MAL-23277,Saenai Heroine no Sodatekata,Completed,7.165972656270014,6.305700000247709,0.0,3.888895364435006,0.0,0.9415009174761009,0.0,0.0,0.0,1.15,0.16856028102860482,1.0,0.0
A-MAL-23273,Shigatsu wa Kimi no Uso,Completed,8.197955773567298,9.5433815582089,0.0,0.0,0.0,0.0,5.9923739669410265,4.0,0.0,0.75,0.22160599440208492,1.0307707157822008,0.0
M-VGMDB-AL-85537,Seishun Seminar/Never Give It Up!! / Study,Unknown,3.0825674932994813,0.9744026447735954,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.09,0.75,0.09919069797821398,0.0
M-VGMDB-AL-36547-1,Bokura wa Ima no Naka de,Completed,3.114851230526182,0.9995839598104218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0995839598104219,0.0
F-VGMDB-9825,ZOMBIE LAND SAGA,Unknown,6.888359974939889,5.582539962409834,0.0,2.5410966171452745,0.0,0.07228491801469544,1.5873045862464622e-05,0.0,0.0,1.0717734625371587,1.9800001365620825,0.5114188191441345,0.0
A-MAL-36266,Mahou Shoujo Site,Completed,6.5735309015111785,5.110296352266768,0.0,0.0,0.0,0.0,3.1102963522667677,0.0,0.0,1.0,0.0,1.0,0.0
A-MAL-31952,Kono Bijutsubu ni wa Mondai ga Aru!,Completed,5.098712446351931,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.0,0.0
A-MAL-31953,New Game!,Completed,6.426421863381956,4.8896327950729335,0.0,1.7060377496544998,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,0.24000000000000005,1.0,0.5
A-MAL-40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Completed,5.64418109712663,3.420941956305047,0.0,1.4209419563050472,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
M-VGMDB-AL-68189,Habataki no Birthday / Baby's breath,Unknown,4.99371478824367,1.918554401296044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583333333333331,1.7999999999999998,0.0995112960210086,0.0
M-5,Magibeat,Unknown,3.050050416189138,0.9490393246275275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528650161740472,0.09617430845348031,0.0
M-VGMDB-AL-35431-1,Kimochi Signal,Completed,2.704222667218782,0.549151654006914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.09915165400691406,0.0
M-6,tamame,Unknown,4.129773397553972,1.7198478814374136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.619074150088299,0.1007737313491146,0.0
M-VGMDB-AR-17153,Aqours,Unknown,5.050268086777112,2.037124642190671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05683295720696823,1.9217689119828134,0.10656663249354414,0.0
A-MAL-50273,Tomodachi Game,Completed,6.068132782574614,4.352199173861922,0.035171986975171626,2.7603833554375536,0.033544958210910025,0.17959766769477858,0.024602153846295896,0.05097772554615186,0.0,0.5,0.12074870851715874,1.024341427978175,0.0
F-VGMDB-694,Atelier,Unknown,8.0700343621158,9.255662296847479,1.094686314146284,4.546235569373689,0.037272175789900025,1.0950599542310662,0.02733572649588433,0.056641917273502075,0.0,1.1550506742617772,2.414735757506165,1.2380285991743136,0.0
M-VGMDB-AL-50723,Silhouette / KANA-BOON,Unknown,3.9808756062215664,1.6750829728528216,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.014499999999999996,1.5000000000000002,0.11869325377135273,0.0
M-VGMDB-AL-104267,"TV Anime ""SHOW BY ROCK!! STARS!!"" Sounyuuka Mini Album Vol.2",Unknown,5.067922141439254,2.0782585895534633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333333,1.9738628087267012,0.10266847775639143,0.0
M-VGMDB-AL-104266,"TV Anime ""SHOW BY ROCK!! STARS!!"" Sounyuuka Mini Album Vol.1",Unknown,5.149619325796588,2.26861302910605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333333,2.1649617387810762,0.10199102062935474,0.0
F-VGMDB-9552,Rikei ga Koi ni Ochita no de Shoumei Shite Mita.,Unknown,5.24623511155659,2.493727809926855,0.047100013369122146,0.8319780320596145,0.0451405029548471,0.4524750254831839,0.2901780066891231,0.06863908019470946,0.0,0.6698584140851832,0.30609065971761323,0.5880191148827669,0.0
M-VGMDB-AL-80341-1,17-sai,Completed,3.884012252141202,1.5995295566701375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.09952955667013746,0.0
F-VGMDB-9260,"Kanojo, Okarishimasu",Unknown,2.91452398444378,0.8057192610214113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,-0.29428073897858875,0.0
M-VGMDB-AL-22848-2,U&I,Completed,2.5816261965659195,0.39958395981042194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0995839598104219,0.0
M-VGMDB-AL-100754,ATRI -My Dear Moments- Original Soundtrack,Unknown,4.599730012788114,1.8279379029412661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541666666666662,1.7999999999999998,0.0,0.0
O-6,Nyumber One! Zettai Saikyou! Party,Unknown,2.809022556501356,0.6770075189316543,0.0,0.6770075189316543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-VGMDB-AL-42945,"7 Girls War / Wake Up, Girls!",Unknown,3.3344316068115454,1.1708566533130056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666666,1.0499999999999998,0.10011539289107861,0.0
F-VGMDB-2633,Sword Art Online,Unknown,5.277796352128801,2.567265500460106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3546107019178208,0.36000000000000004,1.0728789925614912,0.0
M-VGMDB-AL-109367-1,Taiga yo Tomo ni Naite Kure,Completed,4.253082571973249,1.7482089915538472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500000000000001,0.09820899155384735,0.0
A-MAL-24997,Love Live! The School Idol Movie,Completed,5.234118382303307,2.4654958307667045,-0.16190465393753375,1.7319455980223148,-0.1275910799783416,0.15964237128424769,0.021868581196707468,0.04531353381880167,0.0,0.6,0.10733218534858557,0.29592917289803744,0.0
M-VGMDB-AL-51254,Stella-rium / Kano,Unknown,5.337404662481814,2.7061528635826253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3066670835343125,1.5,0.09905274633987192,0.0
M-VGMDB-AR-9455,Larval Stage Planning,Unknown,2.9955157942406063,0.9045292689735397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11402402598068115,0.7721254803996853,0.09757477783153268,0.0
M-VGMDB-AL-95118,Initial/Yume wo Uchinuku Shunkan ni! / Poppin'Party [Special Edition],Unknown,3.2350242582850313,1.0933189214623242,0.0,0.07402143449743065,0.0,0.0,0.0,0.0,0.0,0.07967911182820622,0.8999999999999999,0.09965562996101272,0.0
A-MAL-40295,Another World,Completed,5.761305114392545,3.6938409165346298,0.0,0.0,0.0,0.0,2.364060017857176,0.0,0.0,1.04,0.0,0.28978089867745366,0.0
A-MAL-49470,Mamahaha no Tsurego ga Motokano datta,Completed,5.27280337318767,2.5556318595272707,0.0021875839305342494,0.10943516399943139,0.00017890644379152024,0.0315252487678966,0.005369686557570361,0.0026359406014564053,0.0,1.4300000000000002,0.03620165821455493,1.0022733931711152,0.0
F-VGMDB-7166,Tate no Yuusha no Nariagari,Unknown,5.590373118638013,3.2955693664265704,1.0468959826335622,0.9505954409045878,0.04472661094788004,0.2394635569263715,0.0328028717950612,0.0679703007282025,0.0,1.1112764848491656,0.16099827802287836,0.5698353980684122,0.0
